date,value,acc
2021-05-19,654,133469
2021-05-20,646,134115
2021-05-21,561,134676
2021-05-22,666,135342
2021-05-23,585,135927
2021-05-24,530,136457
2021-05-25,516,136973
2021-05-26,705,137678
2021-05-27,629,138307
2021-05-28,587,138894
2021-05-29,533,139427
2021-05-30,480,139907
2021-05-31,430,140337
2021-06-01,459,140796
2021-06-02,677,141473
2021-06-03,681,142154
2021-06-04,695,142849
2021-06-05,744,143593
2021-06-06,556,144149
2021-06-07,485,144634
2021-06-08,454,145088
2021-06-09,602,145690
2021-06-10,610,146300
2021-06-11,556,146856
2021-06-12,565,147421
2021-06-13,452,147873
2021-06-14,399,148272
2021-06-15,373,148645
2021-06-16,545,149190
2021-06-17,540,149730
2021-06-18,507,150237
2021-06-19,482,150719
2021-06-20,429,151148
2021-06-21,357,151505
2021-06-22,394,151899
2021-06-23,645,152544
2021-06-24,610,153154
2021-06-25,634,153788
2021-06-26,668,154456
2021-06-27,614,155070
2021-06-28,501,155571
2021-06-29,595,156166
2021-06-30,794,156960
2021-07-01,761,157721
2021-07-02,825,158546
2021-07-03,794,159340
2021-07-04,743,160083
2021-07-05,711,160794
2021-07-06,746,161540
2021-07-07,1211,162751
2021-07-08,1275,164026
2021-07-09,1316,165342
2021-07-10,1378,166720
2021-07-11,1324,168044
2021-07-12,1100,169144
2021-07-13,1150,170294
2021-07-14,1613,171907
2021-07-15,1599,173506
2021-07-16,1535,175041
2021-07-17,1449,176490
2021-07-18,1453,177943
2021-07-19,1251,179194
2021-07-20,1278,180472
2021-07-21,1781,182253
2021-07-22,1841,184094
2021-07-23,1629,185723
2021-07-24,1627,187350
2021-07-25,1487,188837
2021-07-26,1318,190155
2021-07-27,1363,191518
2021-07-28,1895,193413
2021-07-29,1673,195086
2021-07-30,1710,196796
2021-07-31,1538,198334
2021-08-01,1442,199776
2021-08-02,1218,200994
2021-08-03,1200,202194
2021-08-04,1725,203919
2021-08-05,1775,205694
2021-08-06,1704,207398
2021-08-07,1823,209221
2021-08-08,1727,210948
2021-08-09,1491,212439
2021-08-10,1537,213976
2021-08-11,2221,216197
2021-08-12,1987,218184
2021-08-13,1989,220173
2021-08-14,1928,222101
2021-08-15,1816,223917
2021-08-16,1554,225471
2021-08-17,1372,226843
2021-08-18,1803,228646
2021-08-19,2152,230798
2021-08-20,2050,232848
2021-08-21,1876,234724
2021-08-22,1626,236350
2021-08-23,1417,237767
2021-08-24,1507,239274
2021-08-25,2154,241428
2021-08-26,1882,243310
2021-08-27,1837,245147
2021-08-28,1791,246938
2021-08-29,1619,248557
2021-08-30,1485,250042
2021-08-31,1369,251411
2021-09-01,2024,253435
2021-09-02,1960,255395
2021-09-03,1708,257103
2021-09-04,1803,258906
2021-09-05,1490,260396
2021-09-06,1375,261771
2021-09-07,1597,263368
2021-09-08,2048,265416
2021-09-09,2049,267465
2021-09-10,1892,269357
2021-09-11,1864,271221
2021-09-12,1755,272976
2021-09-13,1433,274409
2021-09-14,1495,275904
2021-09-15,2078,277982
2021-09-16,1942,279924
2021-09-17,2008,281932
2021-09-18,2087,284019
2021-09-19,1909,285928
2021-09-20,1603,287531
2021-09-21,1729,289260
2021-09-22,1720,290980
2021-09-23,1715,292695
2021-09-24,2429,295124
2021-09-25,3268,298392
2021-09-26,2768,301160
2021-09-27,2381,303541
2021-09-28,2287,305828
2021-09-29,2881,308709
2021-09-30,2561,311270
2021-10-01,2483,313753
2021-10-02,2247,316000
2021-10-03,2085,318085
2021-10-04,1670,319755
2021-10-05,1574,321329
2021-10-06,2027,323356
2021-10-07,2425,325781
2021-10-08,2171,327952
2021-10-09,1953,329905
2021-10-10,1594,331499
2021-10-11,1297,332796
2021-10-12,1346,334142
2021-10-13,1583,335725
2021-10-14,1939,337664
2021-10-15,1683,339347
2021-10-16,1617,340964
2021-10-17,1420,342384
2021-10-18,1049,343433
2021-10-19,1073,344506
2021-10-20,1571,346077
2021-10-21,1441,347518
2021-10-22,1437,348955
2021-10-23,1508,350463
2021-10-24,1422,351885
2021-10-25,1190,353075
2021-10-26,1265,354340
2021-10-27,1952,356292
2021-10-28,2110,358402
2021-10-29,2124,360526
2021-10-30,2104,362630
2021-10-31,2061,364691
2021-11-01,1684,366375
2021-11-02,1589,367964
2021-11-03,2667,370631
2021-11-04,2482,373113
2021-11-05,2342,375455
2021-11-06,2246,377701
2021-11-07,2224,379925
2021-11-08,1758,381683
2021-11-09,1715,383398
2021-11-10,2425,385823
2021-11-11,2519,388342
2021-11-12,2368,390710
2021-11-13,2324,393034
2021-11-14,2418,395452
2021-11-15,2005,397457
2021-11-16,2124,399581
2021-11-17,3187,402768
2021-11-18,3292,406060
2021-11-19,3033,409093
2021-11-20,3204,412297
2021-11-21,3120,415417
2021-11-22,2826,418243
2021-11-23,2697,420940
2021-11-24,4115,425055
2021-11-25,3937,428992
2021-11-26,3895,432887
2021-11-27,4067,436954
2021-11-28,3925,440879
2021-11-29,3307,444186
2021-11-30,3032,447218
2021-12-01,5122,452340
2021-12-02,5263,457603
2021-12-03,4944,462547
2021-12-04,5352,467899
2021-12-05,5125,473024
2021-12-06,4324,477348
2021-12-07,4952,482300
2021-12-08,7173,489473
2021-12-09,7102,496575
2021-12-10,7020,503595
2021-12-11,6973,510568
2021-12-12,6683,517251
2021-12-13,5816,523067
2021-12-14,5565,528632
2021-12-15,7848,536480
2021-12-16,7619,544099
2021-12-17,7434,551533
2021-12-18,7310,558843
2021-12-19,6233,565076
2021-12-20,5316,570392
2021-12-21,5194,575586
2021-12-22,7454,583040
2021-12-23,6915,589955
2021-12-24,6233,596188
2021-12-25,5839,602027
2021-12-26,5415,607442
2021-12-27,4204,611646
2021-12-28,3864,615510
2021-12-29,5407,620917
2021-12-30,5034,625951
2021-12-31,4872,630823
2022-01-01,4414,635237
2022-01-02,3830,639067
2022-01-03,3124,642191
2022-01-04,3022,645213
2022-01-05,4441,649654
2022-01-06,4123,653777
2022-01-07,3711,657488
2022-01-08,3503,660991
2022-01-09,3370,664361
2022-01-10,3005,667366
2022-01-11,3094,670460
2022-01-12,4383,674843
2022-01-13,4162,679005
2022-01-14,4538,683543
2022-01-15,4419,687962
2022-01-16,4189,692151
2022-01-17,3856,696007
2022-01-18,4070,700077
2022-01-19,5804,705881
2022-01-20,6600,712481
2022-01-21,6766,719247
2022-01-22,7005,726252
2022-01-23,7625,733877
2022-01-24,7511,741388
2022-01-25,8570,749958
2022-01-26,13007,762965
2022-01-27,14514,777479
2022-01-28,16093,793572
2022-01-29,17511,811083
2022-01-30,17526,828609
2022-01-31,17077,845686
2022-02-01,18340,864026
2022-02-02,20268,884294
2022-02-03,22906,907200
2022-02-04,27438,934638
2022-02-05,36345,970983
2022-02-06,38689,1009672
2022-02-07,35283,1044955
2022-02-08,36717,1081672
2022-02-09,49567,1131239
2022-02-10,54122,1185361
2022-02-11,53926,1239287
